Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
443097,440631,≥4,2016-01-29,17:11:00,A(M),Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Driver,Slight,Male,23
429812,438919,2,2016-01-29,18:00:00,A,Dry,Darkness: Street lights present and lit,Unknown,Car,Driver,Slight,Female,23
431825,430454,1,2016-01-30,18:55:00,Motorway,Wet/Damp,Darkness: Street lights present and lit,Snowing without high winds,Car,Driver,Slight,Male,48
422627,433537,1,2016-01-30,10:40:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,81
435951,435475,2,2016-01-30,12:45:00,A,Wet/Damp,Daylight: Street lights present,Snowing with high winds,Pedal cycle,Driver,Slight,Male,33
426797,433071,1,2016-01-30,04:30:00,B,Dry,Darkness: Street lighting unknown,Unknown,Goods vehicle,Driver,Serious,Male,35
431404,435028,2,2016-01-31,11:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,7
430036,434078,1,2016-01-31,15:35:00,Unclassified,Dry,Daylight: Street lights present,Fine with high winds,Car,Pedestrian,Slight,Male,20
431404,435028,2,2016-01-31,11:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,6
431404,435028,2,2016-01-31,11:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
429948,436664,1,2016-01-31,17:34:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,64
431404,435028,2,2016-01-31,11:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,28
431404,435028,2,2016-01-31,11:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,20
425664,439612,2,2016-01-31,14:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
436229,435593,2,2016-01-31,19:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Serious,Male,25
420275,445365,1,2016-01-31,11:46:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,28
429425,433999,1,2016-02-01,16:38:00,A(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,22
429425,433999,1,2016-02-01,16:38:00,A(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,26
431880,430498,2,2016-02-01,11:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,20
430785,424533,2,2016-02-02,11:26:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,73
431966,435835,2,2016-02-02,22:05:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Other,Motorcycle,Driver,Slight,Male,24
429464,433392,3,2016-02-02,06:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,36
432173,425966,2,2016-02-02,08:10:00,Motorway,Dry,Daylight: Street lights present,Fine with high winds,Car,Driver,Slight,Male,31
427896,436200,2,2016-02-02,18:00:00,A,Wet/Damp,Darkness: Street lights present and lit,Unknown,Pedal cycle,Driver,Slight,Male,41
435923,428214,2,2016-02-03,11:35:00,A,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Male,42
429963,432509,2,2016-02-03,09:30:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Bus,Passenger,Slight,Female,42
429963,432509,2,2016-02-03,09:30:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Bus,Passenger,Slight,Female,45
431201,440854,1,2016-02-03,09:35:00,A,Snow,Daylight: Street lights present,Snowing without high winds,Motorcycle,Driver,Slight,Male,19
433452,434124,2,2016-02-03,10:25:00,Unclassified,Frost/Ice,Daylight: Street lights present,Unknown,Car,Pedestrian,Slight,Male,48
441601,448977,3,2016-02-03,09:32:00,Unclassified,Snow,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,79
441601,448977,3,2016-02-03,09:32:00,Unclassified,Snow,Daylight: Street lights present,Unknown,Car,Driver,Slight,Male,39
431556,435177,1,2016-02-03,08:53:00,A,Snow,Daylight: Street lights present,Snowing without high winds,Car,Pedestrian,Serious,Female,25
426441,428146,3,2016-02-03,07:37:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Goods vehicle,Driver,Slight,Male,27
440279,449563,2,2016-02-03,06:15:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Slight,Male,56
430335,439815,1,2016-02-03,07:30:00,Unclassified,Frost/Ice,Daylight: Street lights present,Unknown,Motorcycle,Driver,Slight,Male,33
420655,440393,2,2016-02-03,14:00:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,34
422951,433067,1,2016-02-03,15:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,14
423226,435058,1,2016-02-03,16:17:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,44
427983,435228,2,2016-02-03,17:37:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,14
441601,448977,3,2016-02-03,09:32:00,Unclassified,Snow,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,38
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,46
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,60
429898,435437,1,2016-02-04,06:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,30
427062,431803,2,2016-02-04,18:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,34
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,28
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,27
430164,432839,2,2016-02-04,14:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,12
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,3
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,59
430164,432839,2,2016-02-04,14:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,45
430164,432839,2,2016-02-04,14:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,18
430164,432839,2,2016-02-04,14:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
431966,425519,2,2016-02-04,12:10:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,24
428995,433585,2,2016-02-05,11:55:00,A,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,23
420960,441152,1,2016-02-05,12:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,61
425935,437616,2,2016-02-05,09:57:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,27
425915,436269,1,2016-02-05,13:40:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,28
425281,432980,2,2016-02-06,20:45:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,49
430529,433266,1,2016-02-06,21:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,32
426330,435490,2,2016-02-06,20:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,56
428381,434053,2,2016-02-06,18:16:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,27
428381,434053,2,2016-02-06,18:16:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,5
418962,441738,2,2016-02-06,17:30:00,B,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,21
431402,435029,2,2016-02-06,12:14:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Female,53
431340,435054,2,2016-02-07,14:08:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,54
430780,433454,1,2016-02-07,15:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,70
432455,438756,1,2016-02-07,10:57:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,73
432158,427337,2,2016-02-07,16:01:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,62
430577,425368,1,2016-02-07,16:52:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,51
425970,436323,1,2016-02-07,16:52:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,65
430780,433454,1,2016-02-07,15:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,50
430780,433454,1,2016-02-07,15:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Male,47
430780,433454,1,2016-02-07,15:26:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,51
432158,427337,2,2016-02-07,16:01:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,51
428563,427780,3,2016-02-08,18:50:00,B,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,43
431922,436777,2,2016-02-08,17:50:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,52
428302,434114,2,2016-02-08,08:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,31
430667,434302,2,2016-02-08,18:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,55
428563,427780,3,2016-02-08,18:50:00,B,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Male,33
422023,434372,2,2016-02-09,16:25:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,36
420804,436820,2,2016-02-09,11:55:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,72
431190,434501,2,2016-02-09,12:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,22
432625,434590,2,2016-02-09,13:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,31
425421,443198,3,2016-02-09,15:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,38
425421,443198,3,2016-02-09,15:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,52
429738,430550,2,2016-02-09,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,23
434066,433354,1,2016-02-09,18:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,11
420622,433728,2,2016-02-09,16:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,82
420622,433728,2,2016-02-09,16:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,48
420622,433728,2,2016-02-09,16:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,35
429479,431201,2,2016-02-09,18:07:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,15
420804,436820,2,2016-02-09,11:55:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,86
436138,435674,2,2016-02-09,17:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,40
429232,435447,2,2016-02-10,14:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,19
422938,443093,2,2016-02-10,17:25:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,60
432826,436278,2,2016-02-10,12:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,16
430716,438975,2,2016-02-10,10:20:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,55
439305,432352,1,2016-02-10,18:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,37
431410,435023,2,2016-02-10,23:02:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,39
431387,428096,1,2016-02-10,08:00:00,Unclassified,Wet/Damp,Daylight: Street lights present,Unknown,Motorcycle,Driver,Serious,Male,35
422651,428775,2,2016-02-11,17:30:00,B,Dry,Darkness: Street lights present and lit,Unknown,Pedal cycle,Driver,Slight,Male,36
429030,431750,≥4,2016-02-11,16:45:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,31
428718,426013,2,2016-02-11,16:14:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,50
428718,426013,2,2016-02-11,16:14:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,23
431913,435719,2,2016-02-11,16:00:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Goods vehicle,Driver,Slight,Female,38
429030,431750,≥4,2016-02-11,16:45:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Serious,Male,31
429030,431750,≥4,2016-02-11,16:45:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,10
429788,430628,2,2016-02-11,19:00:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,39
429030,431750,≥4,2016-02-11,16:45:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Female,36
424151,428163,2,2016-02-11,14:18:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,26
430147,437574,2,2016-02-11,07:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,62
424151,428163,2,2016-02-11,14:18:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,22
429030,431750,≥4,2016-02-11,16:45:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,30
435721,435145,2,2016-02-12,07:29:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,20
428955,435473,2,2016-02-12,10:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,29
431992,430825,2,2016-02-12,11:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,34
423085,434936,1,2016-02-12,11:56:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,19
420314,445457,1,2016-02-12,11:16:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,80
424693,435013,1,2016-02-12,13:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,60
428511,433057,2,2016-02-13,19:11:00,B,Dry,Darkness: Street lights present and lit,Unknown,Car,Passenger,Slight,Male,20
432032,430318,1,2016-02-13,13:30:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,44
434412,434384,3,2016-02-13,09:00:00,A,Dry,Daylight: Street lights present,Unknown,Car,Passenger,Slight,Female,53
434412,434384,3,2016-02-13,09:00:00,A,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,38
434412,434384,3,2016-02-13,09:00:00,A,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,51
434412,434384,3,2016-02-13,09:00:00,A,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,64
430208,434927,1,2016-02-13,00:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,30
428511,433057,2,2016-02-13,19:11:00,B,Dry,Darkness: Street lights present and lit,Unknown,Car,Driver,Slight,Female,22
440576,432104,2,2016-02-14,10:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Serious,Male,62
427998,434352,2,2016-02-14,14:55:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,29
426032,435589,2,2016-02-14,10:28:00,B,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,32
420303,445745,1,2016-02-15,11:15:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Pedestrian,Serious,Male,61
430584,438148,3,2016-02-15,22:44:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Serious,Male,67
429810,424615,1,2016-02-15,18:47:00,Unclassified,Frost/Ice,Darkness: No street lighting,Raining without high winds,Car,Driver,Slight,Female,22
430003,432901,2,2016-02-15,08:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,59
434799,429074,1,2016-02-15,12:56:00,Unclassified,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,9
426871,437555,3,2016-02-15,10:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,51
426871,437555,3,2016-02-15,10:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,28
443407,445396,3,2016-02-16,08:05:00,A,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,25
435201,434868,2,2016-02-16,17:20:00,Unclassified,Dry,Darkness: Street lighting unknown,Unknown,Car,Driver,Slight,Female,53
430051,431064,2,2016-02-16,16:16:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,45
430421,433462,2,2016-02-16,20:27:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Other,Driver,Slight,Female,46
429099,426571,1,2016-02-16,21:32:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,26
431923,434803,2,2016-02-16,15:30:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Pedal cycle,Driver,Slight,Male,26
426888,438864,2,2016-02-16,10:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,53
420675,440811,≥4,2016-02-16,10:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,20
425600,440033,1,2016-02-17,17:15:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Unknown,Goods vehicle,Pedestrian,Slight,Male,17
432145,435890,≥4,2016-02-17,19:05:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Passenger,Slight,Female,49
429702,433456,2,2016-02-17,18:30:00,Unclassified,Dry,Darkness: Street lights present and lit,Unknown,Car,Driver,Slight,Male,27
428838,440110,1,2016-02-17,10:54:00,Unclassified,Wet/Damp,Daylight: Street lights present,Unknown,Car,Pedestrian,Slight,Female,15
427937,435732,1,2016-02-18,20:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,52
421775,435372,2,2016-02-18,17:00:00,Unclassified,Dry,Darkness: Street lights present and lit,Unknown,Car,Driver,Slight,Male,22
419503,445035,2,2016-02-18,14:58:00,A,Dry,Daylight: Street lights present,Unknown,Pedal cycle,Driver,Slight,Male,39
429028,437510,2,2016-02-18,12:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,63
420715,440962,2,2016-02-18,12:09:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Passenger,Slight,Female,45
432128,429220,2,2016-02-18,16:51:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,59
440004,442847,1,2016-02-18,08:05:00,Unclassified,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,35
427248,439081,2,2016-02-18,18:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,19
421717,435131,1,2016-02-18,18:05:00,B,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,20
421020,434317,2,2016-02-18,07:30:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Bus,Driver,Slight,Male,46
427554,434485,2,2016-02-18,21:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,31
427554,434485,2,2016-02-18,21:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,21
430724,439242,2,2016-02-18,19:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,52
427554,434485,2,2016-02-18,21:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,20
427554,434485,2,2016-02-18,21:40:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,19
425412,440392,1,2016-02-18,22:22:00,Unclassified,Frost/Ice,Daylight: Street lights present,Raining without high winds,Car,Passenger,Slight,Female,18
430706,427466,1,2016-02-19,20:50:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Snowing with high winds,Car,Passenger,Slight,Male,18
430505,432719,2,2016-02-19,16:13:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,19
426513,435659,2,2016-02-19,23:40:00,B,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,19
428113,435276,1,2016-02-19,21:00:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,20
442170,443052,2,2016-02-19,21:10:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Driver,Slight,Female,29
426513,435659,2,2016-02-19,23:40:00,B,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,46
429621,428104,2,2016-02-20,10:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
429775,438891,2,2016-02-21,08:10:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Pedal cycle,Driver,Serious,Male,38
432303,434915,1,2016-02-22,16:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,45
431233,434797,≥4,2016-02-22,16:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,33
431233,434797,≥4,2016-02-22,16:05:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,22
433125,435706,1,2016-02-22,11:06:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,51
433365,436190,1,2016-02-22,08:34:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,78
431767,434950,3,2016-02-22,17:19:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,24
442023,430738,2,2016-02-23,08:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,37
418450,445772,1,2016-02-23,12:58:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,64
435025,436912,1,2016-02-23,09:10:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Passenger,Slight,Male,58
437793,432487,3,2016-02-24,10:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,50
437793,432487,3,2016-02-24,10:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,52
430346,435926,2,2016-02-25,10:50:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,49
436353,433731,1,2016-02-25,15:45:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Pedestrian,Slight,Female,20
433150,435254,2,2016-02-25,15:50:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,53
430517,439248,2,2016-02-25,14:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,60
435854,426139,3,2016-02-25,13:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,24
436353,433731,1,2016-02-25,15:45:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Car,Pedestrian,Slight,Female,14
420486,445127,2,2016-02-25,10:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,49
428562,434527,2,2016-02-25,09:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,25
428562,434527,2,2016-02-25,09:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,22
425706,435409,2,2016-02-25,08:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,23
421064,434481,2,2016-02-25,18:10:00,Unclassified,Dry,Darkness: Street lighting unknown,Unknown,Car,Driver,Slight,Male,25
421932,432859,1,2016-02-25,01:59:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,18
428545,432103,1,2016-02-25,06:52:00,A,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,22
419988,441167,2,2016-02-26,06:47:00,Unclassified,Dry,Daylight: Street lights present,Unknown,Pedal cycle,Driver,Slight,Male,15
430770,433455,2,2016-02-26,13:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,77
440665,446078,≥4,2016-02-26,13:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
440665,446078,≥4,2016-02-26,13:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,25
440665,446078,≥4,2016-02-26,13:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,76
440665,446078,≥4,2016-02-26,13:40:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,26
433869,436509,1,2016-02-26,15:25:00,A,Dry,Daylight: Street lights present,Unknown,Bus,Passenger,Slight,Male,1
429595,435397,2,2016-02-26,22:35:00,Unclassified,Dry,Darkness: Street lights present and lit,Unknown,Car,Driver,Slight,Male,45
