Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
440574,428697,2,2014-01-13,11:39:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,47
435691,437238,2,2014-01-13,10:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
419503,445027,2,2014-01-13,15:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,33
430673,434339,2,2014-01-13,09:10:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Bus,Passenger,Slight,Female,34
428416,426096,2,2014-01-14,18:00:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Serious,Male,22
424980,445054,1,2014-01-14,09:24:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,69
429445,437311,1,2014-01-14,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13
434965,437846,1,2014-01-15,17:15:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,15
427559,433891,2,2014-01-15,21:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,34
431448,435821,2,2014-01-15,07:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
436473,428485,2,2014-01-15,11:55:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Passenger,Slight,Female,35
429506,437333,2,2014-01-15,02:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,24
425955,426791,2,2014-01-16,07:00:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Slight,Male,43
423075,437684,≥4,2014-01-16,15:41:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,27
428656,430027,1,2014-01-16,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10
437587,433164,2,2014-01-16,16:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,69
424929,427637,2,2014-01-16,07:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,40
431687,435738,1,2014-01-17,17:00:00,Unclassified,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,22
423982,436710,3,2014-01-17,10:36:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,60
423982,436710,3,2014-01-17,10:36:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,77
425135,436550,2,2014-01-17,19:30:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Serious,Male,33
430091,435423,2,2014-01-17,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,52
427496,425508,2,2014-01-18,12:38:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Female,94
428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,33
